Portfolio,Open,High,Low,Close,Adj Close,Volume
Bitcoin,8852780273,9711889648,8607120117,9578629883,9578629883,6296370176
Bitcoin,9602929688,9937500000,8956429688,9205120117,9205120117,6457399808
Bitcoin,9173040039,9470379883,8958190430,9194849609,9194849609,5991139840
Bitcoin,9214650391,9355849609,8068589844,8269809570,8269809570,6438230016
Bitcoin,8290759766,8428349609,7783049805,8300860352,8300860352,6834429952
Bitcoin,7890520020,8245509766,7397990234,8223679688,8223679688,6639190016
Bitcoin,8344120117,8675870117,8182399902,8630650391,8630650391,6729110016
Bitcoin,8619669922,9051019531,8389889648,8913469727,8913469727,6361789952
Bitcoin,8937480469,9177370117,8846330078,8929280273,8929280273,6043129856
Bitcoin,8939440430,9100709961,8564900391,8728469727,8728469727,5530390016
Bitcoin,8612809570,8682009766,8449099609,8495780273,8495780273,4569880064
Bitcoin,8498469727,8530080078,7921430176,8209400391,8209400391,5921039872
Bitcoin,8200000000,8232780273,7797279785,7833040039,7833040039,5378250240
Bitcoin,7836830078,8122890137,7809169922,7954479980,7954479980,4935289856
Bitcoin,7003060059,7060950195,6526870117,6844229980,6844229980,4532100096
Bitcoin,6844859863,7135470215,6816580078,7083799805,7083799805,4333440000
Bitcoin,7102259766,7530939941,7072490234,7456109863,7456109863,5499700224
Bitcoin,7456410156,7469879883,6803879883,6853839844,6853839844,4936000000
Bitcoin,6848649902,6933819824,6644799805,6811470215,6811470215,5639320064
Bitcoin,6919979980,7111560059,6919979980,7023520020,7023520020,3652499968
Bitcoin,7044319824,7178109863,6661990234,6770729980,6770729980,4894060032
Bitcoin,6795439941,6872410156,6704149902,6834759766,6834759766,4272750080
Bitcoin,6843470215,6968319824,6817589844,6968319824,6968319824,4641889792
Bitcoin,6955379883,7899229980,6806509766,7889250000,7889250000,8906250240
Bitcoin,7999330078,8338419922,7999330078,8329110352,8329110352,5244480000
Bitcoin,8337570313,8371150391,7925729980,8058669922,8058669922,5631309824
Bitcoin,8071660156,8285959961,7881720215,7902089844,7902089844,6900879872
Bitcoin,7944430176,8197799805,7886009766,8163419922,8163419922,6529909760
Bitcoin,8159270020,8298690430,8138779785,8294309570,8294309570,7063209984
