Currency;Country;Label;Value
AED;Emiratos Árabes Unidos;5-5-2018;60.93251296
AED;Emiratos Árabes Unidos;12-5-2018;57.5023858
AED;Emiratos Árabes Unidos;19-5-2018;40.06180674
AED;Emiratos Árabes Unidos;26-5-2018;68.49508749
AED;Emiratos Árabes Unidos;2-6-2018;48.4614813
AED;Emiratos Árabes Unidos;9-6-2018;60.86091816
AED;Emiratos Árabes Unidos;16-6-2018;65.27293162
AED;Emiratos Árabes Unidos;23-6-2018;57.84075656
AED;Emiratos Árabes Unidos;30-6-2018;47.59462793
AED;Emiratos Árabes Unidos;7-7-2018;66.63671574
AED;Emiratos Árabes Unidos;14-7-2018;47.59633067
AED;Emiratos Árabes Unidos;21-7-2018;46.97104201
AED;Emiratos Árabes Unidos;28-7-2018;47.86878751
AED;Emiratos Árabes Unidos;4-8-2018;47.9867756
AED;Emiratos Árabes Unidos;11-8-2018;61.60205257
AED;Emiratos Árabes Unidos;18-8-2018;45.30744383
AED;Emiratos Árabes Unidos;25-8-2018;17.41424264
AED;Emiratos Árabes Unidos;1-9-2018;34.16329118
AED;Emiratos Árabes Unidos;8-9-2018;38.06949843
AED;Emiratos Árabes Unidos;15-9-2018;44.34720454
AED;Emiratos Árabes Unidos;22-9-2018;64.06398898
AED;Emiratos Árabes Unidos;29-9-2018;43.45182985
AED;Emiratos Árabes Unidos;6-10-2018;43.69262952
AED;Emiratos Árabes Unidos;13-10-2018;69.66478199
AED;Emiratos Árabes Unidos;20-10-2018;36.40064252
AED;Emiratos Árabes Unidos;27-10-2018;46.04732232
AED;Emiratos Árabes Unidos;3-11-2018;42.35917812
AED;Emiratos Árabes Unidos;10-11-2018;77.47747076
AED;Emiratos Árabes Unidos;17-11-2018;35.12804084
AED;Emiratos Árabes Unidos;24-11-2018;76.33549581
AED;Emiratos Árabes Unidos;1-12-2018;69.96020214
AED;Emiratos Árabes Unidos;8-12-2018;69.68243444
AED;Emiratos Árabes Unidos;15-12-2018;101.0498992
